date,region,category,product,quantity,price,cost
2024-01-01,East,Clothing,India,2,117,67.42
2024-01-02,East,Electronics,Hotel,15,98,61.63
2024-01-03,West,Electronics,Golf,17,119,100.42
2024-01-04,North,Home,Alpha,15,58,36.05
2024-01-05,West,Electronics,Echo,4,65,42.49
2024-01-06,South,Home,Juliett,6,112,95.06
2024-01-07,West,Electronics,India,6,34,25.4
2024-01-08,West,Home,Alpha,5,77,64.92
2024-01-09,North,Clothing,Alpha,19,94,60.76
2024-01-10,West,Clothing,Bravo,4,87,54.21
2024-01-11,South,Home,Charlie,19,22,11.72
2024-01-12,West,Electronics,Delta,18,35,27.93
2024-01-13,South,Electronics,Charlie,10,104,84.82
2024-01-14,North,Electronics,India,17,101,53.35
2024-01-15,East,Clothing,Hotel,19,101,69.43
2024-01-16,North,Electronics,Alpha,20,38,31.81
2024-01-17,North,Home,India,5,87,60.36
2024-01-18,East,Electronics,Hotel,14,45,30.24
2024-01-19,East,Electronics,Golf,2,106,64.35
2024-01-20,West,Toys,Golf,13,43,28.13
2024-01-21,North,Electronics,Delta,10,54,48.58
2024-01-22,West,Toys,Alpha,1,72,62.17
2024-01-23,West,Toys,Alpha,8,35,28.92
2024-01-24,East,Clothing,Foxtrot,16,111,76.5
2024-01-25,South,Clothing,India,17,43,36.07
2024-01-26,North,Toys,Juliett,18,71,58.94
2024-01-27,South,Clothing,India,16,42,26.41
2024-01-28,North,Electronics,Golf,13,21,18.28
2024-01-29,East,Home,Bravo,18,48,40.49
2024-01-30,West,Home,Delta,15,47,41.36
2024-01-31,North,Home,India,15,35,19.91
2024-02-01,West,Toys,Echo,9,87,47.28
2024-02-02,South,Toys,Bravo,4,53,28.37
2024-02-03,North,Clothing,Golf,16,54,31.17
2024-02-04,North,Clothing,Hotel,9,22,14.66
2024-02-05,North,Home,Alpha,16,78,55.15
2024-02-06,East,Home,Hotel,19,52,39.05
2024-02-07,South,Clothing,Juliett,19,61,45.53
2024-02-08,South,Home,Juliett,1,22,12.07
2024-02-09,South,Toys,India,19,20,15.5
2024-02-10,East,Electronics,Golf,9,70,45.7
2024-02-11,North,Toys,Juliett,7,46,26.18
2024-02-12,East,Home,Bravo,8,21,16.71
2024-02-13,West,Electronics,Charlie,11,81,63.88
2024-02-14,East,Electronics,Foxtrot,11,53,45.38
2024-02-15,East,Electronics,Hotel,2,120,76.03
2024-02-16,North,Electronics,Delta,20,61,44.19
2024-02-17,South,Toys,Hotel,20,35,17.56
2024-02-18,West,Home,Foxtrot,17,114,64.9
2024-02-19,North,Toys,India,4,26,13.28
2024-02-20,West,Electronics,Foxtrot,12,54,37.03
2024-02-21,West,Electronics,Alpha,8,102,78.67
2024-02-22,South,Toys,Alpha,2,60,34.03
2024-02-23,North,Home,Delta,3,42,30.62
2024-02-24,East,Toys,Hotel,11,76,57.71
2024-02-25,West,Home,Juliett,12,64,43.44
2024-02-26,East,Toys,Hotel,7,84,70.53
2024-02-27,East,Home,Hotel,2,22,16.88
2024-02-28,North,Clothing,Echo,8,103,54.76
2024-02-29,North,Toys,Hotel,13,41,29.77
2024-03-01,South,Electronics,Hotel,17,91,63.78
2024-03-02,North,Home,Foxtrot,12,58,37.29
2024-03-03,North,Electronics,Juliett,11,53,34.4
2024-03-04,East,Clothing,Hotel,13,63,43.56
2024-03-05,West,Clothing,India,15,65,57.04
2024-03-06,North,Electronics,Alpha,8,113,82.13
2024-03-07,West,Home,Golf,20,38,31.53
2024-03-08,East,Clothing,Alpha,9,106,62.61
2024-03-09,South,Toys,Juliett,9,68,59.28
2024-03-10,West,Toys,Foxtrot,20,25,13.95
2024-03-11,South,Home,Echo,1,23,13.12
2024-03-12,North,Home,India,13,73,39.72
2024-03-13,South,Clothing,Hotel,4,28,15.92
2024-03-14,North,Electronics,Juliett,11,83,70.85
2024-03-15,East,Home,Bravo,13,33,24.18
2024-03-16,South,Toys,Juliett,13,60,49.71
2024-03-17,East,Home,Charlie,1,29,25.86
2024-03-18,South,Clothing,Delta,18,40,30.29
2024-03-19,East,Electronics,Echo,5,86,47.93
2024-03-20,North,Electronics,Hotel,7,117,83.23
2024-03-21,West,Home,Hotel,5,108,64.61
2024-03-22,West,Toys,Golf,9,110,90.77
2024-03-23,North,Toys,Charlie,2,34,30.05
2024-03-24,North,Home,Delta,19,102,84.14
2024-03-25,East,Electronics,India,13,82,63.11
2024-03-26,North,Home,Alpha,8,48,28.92
2024-03-27,West,Home,Charlie,2,44,27.63
2024-03-28,South,Clothing,Alpha,17,67,40.8
2024-03-29,South,Electronics,Alpha,14,32,18.66
2024-03-30,South,Clothing,Foxtrot,1,114,64.74
2024-03-31,East,Clothing,Golf,2,35,24.15
2024-04-01,North,Toys,Echo,10,103,57.07
2024-04-02,West,Electronics,Juliett,17,85,44.07
2024-04-03,North,Toys,Delta,5,43,31.24
2024-04-04,South,Toys,Juliett,12,117,61.66
2024-04-05,North,Toys,Charlie,17,96,70.49
2024-04-06,West,Electronics,Bravo,7,111,56.72
2024-04-07,South,Clothing,Delta,7,91,72.95
2024-04-08,North,Clothing,Bravo,14,91,64.36
2024-04-09,West,Home,Charlie,2,58,48.23
2024-04-10,East,Toys,Bravo,20,60,35.57
2024-04-11,South,Home,Foxtrot,5,32,27.15
2024-04-12,East,Electronics,Alpha,2,35,30.16
2024-04-13,East,Home,Foxtrot,5,67,51.77
2024-04-14,East,Clothing,Delta,8,38,26.37
2024-04-15,East,Toys,Hotel,9,41,36.06
2024-04-16,West,Electronics,Golf,15,31,23.49
2024-04-17,West,Toys,India,13,39,22.16
2024-04-18,East,Electronics,India,14,45,26.65
2024-04-19,South,Clothing,Hotel,16,89,46.68
2024-04-20,South,Toys,Hotel,19,106,83.69
2024-04-21,North,Toys,Golf,5,26,15.42
2024-04-22,South,Electronics,Charlie,18,80,55.86
2024-04-23,East,Home,Delta,3,48,26.5
2024-04-24,West,Clothing,Charlie,14,98,59.42
2024-04-25,North,Home,Alpha,19,99,83.89
2024-04-26,South,Electronics,Charlie,13,96,59.47
2024-04-27,North,Toys,Alpha,14,36,31.69
2024-04-28,East,Toys,Delta,20,73,41.6
2024-04-29,South,Home,Juliett,13,76,52.43
2024-04-30,South,Clothing,Hotel,10,20,10.45
2024-05-01,East,Electronics,Hotel,13,120,87.05
2024-05-02,North,Toys,Delta,20,33,23.5
2024-05-03,East,Home,India,3,25,13.08
2024-05-04,North,Home,India,2,96,82.93
2024-05-05,West,Home,Juliett,3,86,66.35
2024-05-06,East,Toys,Alpha,20,119,78.2
2024-05-07,South,Home,Foxtrot,19,95,73.2
2024-05-08,North,Home,India,3,116,62.07
2024-05-09,South,Home,Bravo,5,40,34.57
2024-05-10,West,Clothing,Hotel,9,42,26.23
2024-05-11,East,Toys,Echo,14,105,72.01
2024-05-12,East,Clothing,Bravo,1,48,33.92
2024-05-13,West,Toys,Echo,5,20,15.38
2024-05-14,North,Clothing,Alpha,17,30,23.67
2024-05-15,North,Electronics,Hotel,6,27,22.96
2024-05-16,East,Clothing,Delta,18,72,43.04
2024-05-17,South,Home,Juliett,10,97,52.67
2024-05-18,East,Home,Echo,17,120,60.12
2024-05-19,South,Toys,Delta,8,61,43.56
2024-05-20,South,Toys,Hotel,13,52,30.22
2024-05-21,North,Electronics,Alpha,12,81,56.67
2024-05-22,South,Clothing,Hotel,8,46,25.72
2024-05-23,South,Toys,Juliett,6,48,24.35
2024-05-24,North,Toys,Delta,8,120,60.54
2024-05-25,West,Toys,Foxtrot,12,48,40.22
2024-05-26,South,Toys,Hotel,2,46,32.25
2024-05-27,South,Home,Delta,18,102,85.58
2024-05-28,East,Electronics,Delta,9,69,35.11
2024-05-29,East,Electronics,Alpha,15,105,55.52
2024-05-30,West,Home,India,12,70,39.38
2024-05-31,South,Toys,Alpha,2,20,14.57
2024-06-01,East,Home,Echo,9,118,92.86
2024-06-02,West,Toys,Alpha,7,37,28.86
2024-06-03,South,Home,Juliett,9,42,33.18
2024-06-04,South,Toys,Echo,20,82,46.34
2024-06-05,West,Toys,Delta,18,88,68.41
2024-06-06,North,Toys,Charlie,10,96,67.08
2024-06-07,North,Clothing,Juliett,3,62,46.01
2024-06-08,North,Home,Alpha,12,84,67.01
2024-06-09,East,Toys,Golf,5,98,67.98
2024-06-10,West,Clothing,Hotel,8,72,55.05
2024-06-11,West,Clothing,Delta,20,41,24.93
2024-06-12,South,Home,Delta,7,56,49.84
2024-06-13,South,Clothing,Delta,16,60,39.72
2024-06-14,North,Electronics,Hotel,9,102,76.34
2024-06-15,South,Toys,Echo,1,96,84.43
2024-06-16,South,Toys,Alpha,15,27,16.07
2024-06-17,South,Clothing,Alpha,7,110,96.47
2024-06-18,West,Toys,Hotel,18,30,25.66
2024-06-19,North,Clothing,Alpha,5,94,58.07
2024-06-20,North,Home,Echo,3,26,18.84
2024-06-21,North,Home,Foxtrot,18,119,74.16
2024-06-22,East,Toys,India,18,50,28.56
2024-06-23,East,Clothing,Foxtrot,16,87,52.3
2024-06-24,North,Electronics,Golf,17,93,78.64
2024-06-25,East,Clothing,Golf,17,97,68.63
2024-06-26,East,Electronics,Charlie,18,78,63.7
2024-06-27,West,Home,Charlie,6,63,43.31
2024-06-28,North,Home,Hotel,4,102,59.33
2024-06-29,East,Home,Golf,18,38,23.87
2024-06-30,South,Toys,Juliett,9,33,19.42
2024-07-01,North,Home,Juliett,6,93,49.2
2024-07-02,West,Toys,Bravo,1,62,48.87
2024-07-03,East,Home,Hotel,2,35,21.05
2024-07-04,East,Toys,Golf,3,50,36.41
2024-07-05,West,Home,Golf,14,41,29.67
2024-07-06,East,Home,Charlie,17,120,81.32
2024-07-07,West,Toys,Delta,1,32,19.29
2024-07-08,West,Clothing,Hotel,2,60,44.54
2024-07-09,South,Clothing,Bravo,14,79,42.02
2024-07-10,East,Home,Delta,20,116,93.89
2024-07-11,East,Clothing,Hotel,18,80,51.84
2024-07-12,North,Electronics,Bravo,3,69,36.59
2024-07-13,West,Electronics,Echo,18,59,51.8
2024-07-14,North,Home,Golf,13,72,61.81
2024-07-15,South,Toys,Delta,9,50,44.24
2024-07-16,West,Home,Echo,19,105,86.26
2024-07-17,East,Home,Juliett,6,42,30.59
2024-07-18,West,Clothing,Foxtrot,12,21,18.32
